temperatureEau;temperature;humidity;date
21.5625;22;59;02/11/2013 07:54
21.5625;22;59;02/11/2013 07:55
21.625;22;59;02/11/2013 07:56
21.5625;22;59;02/11/2013 07:57
21.5625;22;59;02/11/2013 07:58
21.5625;22;59;02/11/2013 07:59
21.625;22;59;02/11/2013 08:00
21.5625;22;60;02/11/2013 08:02
21.625;22;60;02/11/2013 08:03
21.5625;22;60;02/11/2013 08:04
21.5625;22;60;02/11/2013 08:05
21.5625;22;59;02/11/2013 08:06
21.625;22;59;02/11/2013 08:07
21.5625;22;59;02/11/2013 08:08
21.5625;22;59;02/11/2013 08:09
21.5625;22;60;02/11/2013 08:10
21.5625;22;59;02/11/2013 08:11
21.5625;22;60;02/11/2013 08:12
21.625;22;60;02/11/2013 08:13
21.5625;22;60;02/11/2013 08:14
21.625;22;60;02/11/2013 08:15
21.5625;22;59;02/11/2013 08:16
21.625;22;59;02/11/2013 08:17
21.5625;22;59;02/11/2013 08:18
21.625;22;59;02/11/2013 08:19
21.625;22;59;02/11/2013 08:20
21.625;22;60;02/11/2013 08:21
21.625;22;60;02/11/2013 08:22
21.625;22;60;02/11/2013 08:23
21.625;22;60;02/11/2013 08:24
21.625;22;60;02/11/2013 08:25
21.625;22;60;02/11/2013 08:26
21.625;22;59;02/11/2013 08:27
21.625;22;59;02/11/2013 08:28
21.625;22;59;02/11/2013 08:29
21.625;22;59;02/11/2013 08:30
21.625;22;60;02/11/2013 08:31
21.625;22;60;02/11/2013 08:32
21.625;22;60;02/11/2013 08:33
21.625;22;60;02/11/2013 08:34
21.625;22;60;02/11/2013 08:35
21.625;22;60;02/11/2013 08:36
21.625;23;59;02/11/2013 08:37
21.625;22;59;02/11/2013 08:38
21.625;22;60;02/11/2013 08:39
21.6875;22;59;02/11/2013 08:40
21.6875;22;59;02/11/2013 08:41
21.625;22;60;02/11/2013 08:42
21.625;23;58;02/11/2013 08:43
21.625;22;61;02/11/2013 08:44
21.6875;22;60;02/11/2013 08:45
21.6875;22;60;02/11/2013 08:46
21.6875;22;60;02/11/2013 08:47
21.6875;22;60;02/11/2013 08:48
21.6875;22;60;02/11/2013 08:49
21.6875;22;61;02/11/2013 08:50
21.6875;22;59;02/11/2013 08:51
21.6875;22;59;02/11/2013 08:52
21.6875;23;58;02/11/2013 08:53
21.6875;22;59;02/11/2013 08:54
21.6875;22;59;02/11/2013 08:55
21.6875;22;60;02/11/2013 08:56
21.6875;22;59;02/11/2013 08:57
21.6875;23;58;02/11/2013 08:58
21.6875;22;60;02/11/2013 08:59
21.6875;22;60;02/11/2013 09:00
21.6875;22;60;02/11/2013 09:01
21.6875;22;60;02/11/2013 09:02
21.75;22;60;02/11/2013 09:03
21.75;22;59;02/11/2013 09:04
21.75;22;59;02/11/2013 09:05
21.75;22;59;02/11/2013 09:06
21.75;23;58;02/11/2013 09:07
21.75;22;59;02/11/2013 09:08
